,location,total_sqft,bath,price,bhk
122,Ambegaon Budruk,884.0,2.0,41.1,2
123,Ambegaon Budruk,1036.0,2.0,50.0,2
124,Ambegaon Budruk,6000.0,5.0,400.0,4
125,Ambegaon Budruk,1240.0,2.0,60.0,2
126,Ambegaon Budruk,2060.0,3.0,149.0,3
127,Ambegaon Budruk,1890.0,4.0,127.0,3
128,Ambegaon Budruk,1330.0,2.0,86.98,2
129,Ambegaon Budruk,1115.0,2.0,50.0,2
130,Ambegaon Budruk,1045.0,2.0,45.0,2
131,Ambegaon Budruk,1070.0,2.0,54.0,2
132,Ambegaon Budruk,1340.0,2.0,100.0,3
133,Ambegaon Budruk,1500.0,2.0,143.0,3
134,Ambegaon Budruk,3122.0,6.0,245.0,4
135,Ambegaon Budruk,1089.0,2.0,43.55,2
136,Ambegaon Budruk,3250.0,4.0,230.0,4
139,Ambegaon Budruk,780.0,2.0,25.0,2
141,Ambegaon Budruk,1065.0,2.0,50.0,2
142,Ambegaon Budruk,1351.0,2.0,53.0,1
143,Ambegaon Budruk,1146.0,2.0,39.5,2
144,Ambegaon Budruk,1000.0,2.0,60.0,2
145,Ambegaon Budruk,1665.0,3.0,86.91,3
146,Ambegaon Budruk,1274.0,2.0,48.42,2
147,Ambegaon Budruk,1819.18,3.0,160.0,3
148,Ambegaon Budruk,1444.0,2.0,80.0,3
149,Ambegaon Budruk,1263.0,2.0,78.0,2
150,Ambegaon Budruk,1690.0,3.0,112.0,3
151,Ambegaon Budruk,1500.0,3.0,95.0,3
152,Ambegaon Budruk,709.0,1.0,34.385,1
154,Ambegaon Budruk,1000.0,2.0,68.0,2
155,Ambegaon Budruk,1360.0,2.0,103.0,2
156,Ambegaon Budruk,1140.0,2.0,52.0,2
159,Ambegaon Budruk,1174.0,2.0,75.0,2
160,Ambegaon Budruk,1075.0,2.0,30.0,2
162,Ambegaon Budruk,1390.0,2.0,65.0,2
163,Ambegaon Budruk,1010.0,2.0,35.0,2
164,Ambegaon Budruk,1250.0,2.0,60.0,2
165,Ambegaon Budruk,2400.0,5.0,190.0,4
167,Ambegaon Budruk,1200.0,2.0,52.5,2
168,Ambegaon Budruk,919.0,2.0,34.0,2
169,Ambegaon Budruk,1242.0,2.0,65.0,2
170,Ambegaon Budruk,913.0,2.0,36.0,2
171,Ambegaon Budruk,883.0,2.0,45.0,2
172,Ambegaon Budruk,1724.0,3.0,146.0,3
174,Ambegaon Budruk,1444.0,2.0,71.5,3
175,Ambegaon Budruk,1395.0,2.0,75.0,2
176,Ambegaon Budruk,600.0,1.0,47.0,1
178,Ambegaon Budruk,1258.0,2.0,58.0,2
180,Ambegaon Budruk,750.0,2.0,36.5,2
181,Ambegaon Budruk,2600.0,3.0,147.0,3
182,Ambegaon Budruk,900.0,2.0,55.0,2
183,Ambegaon Budruk,500.0,1.0,20.0,1
184,Ambegaon Budruk,1089.0,2.0,49.0,2
185,Ambegaon Budruk,1086.0,2.0,44.5,2
186,Ambegaon Budruk,1512.0,3.0,103.0,3
187,Ambegaon Budruk,1500.0,3.0,72.99,3
188,Ambegaon Budruk,2000.0,2.0,180.0,3
189,Ambegaon Budruk,1215.0,2.0,68.0,2
190,Ambegaon Budruk,2400.0,2.0,125.0,3
191,Ambegaon Budruk,2210.0,3.0,165.0,3
192,Ambegaon Budruk,1800.0,3.0,93.0,3
193,Ambegaon Budruk,3122.0,6.0,245.0,4
194,Ambegaon Budruk,1600.0,2.0,90.0,3
196,Ambegaon Budruk,2275.0,4.0,185.0,3
197,Ambegaon Budruk,900.0,2.0,72.0,2
198,Ambegaon Budruk,1398.0,2.0,97.0,2
199,Ambegaon Budruk,3270.0,4.0,205.0,4
200,Ambegaon Budruk,1340.0,2.0,85.0,2
201,Ambegaon Budruk,1350.0,3.0,70.0,3
202,Ambegaon Budruk,2650.0,4.0,175.0,3
203,Ambegaon Budruk,500.0,1.0,33.0,1
204,Ambegaon Budruk,984.0,2.0,45.91,2
205,Ambegaon Budruk,1725.0,3.0,106.0,3
206,Ambegaon Budruk,1035.0,2.0,39.0,2
210,Ambegaon Budruk,1107.83,2.0,41.51,2
212,Ambegaon Budruk,1220.0,2.0,62.0,2
213,Ambegaon Budruk,1200.0,2.0,45.0,2
214,Ambegaon Budruk,1310.0,2.0,60.0,2
215,Ambegaon Budruk,1315.0,2.0,55.0,2
216,Ambegaon Budruk,1450.0,2.0,73.0,3
217,Ambegaon Budruk,1220.0,2.0,55.0,2
218,Ambegaon Budruk,1200.0,1.0,50.0,2
219,Ambegaon Budruk,1150.0,2.0,45.99,2
220,Ambegaon Budruk,1165.0,2.0,52.0,2
221,Ambegaon Budruk,1160.0,2.0,49.0,2
222,Ambegaon Budruk,925.0,2.0,35.0,2
223,Ambegaon Budruk,1516.0,3.0,147.0,3
224,Ambegaon Budruk,1790.0,3.0,120.0,3
225,Ambegaon Budruk,1112.0,2.0,58.0,2
226,Ambegaon Budruk,1490.0,3.0,85.0,3
228,Anandnagar,1200.0,2.0,65.0,2
232,Anandnagar,1460.0,3.0,73.0,3
233,Anandnagar,1300.0,1.0,115.0,2
234,Anandnagar,1662.0,3.0,85.1,3
236,Anandnagar,1535.0,3.0,78.0,3
237,Anandnagar,1730.0,3.0,96.0,3
238,Anandnagar,1400.0,2.0,73.0,3
240,Anandnagar,1757.0,3.0,132.0,3
241,Anandnagar,1200.0,2.0,125.0,2
242,Anandnagar,1200.0,4.0,83.0,4
243,Anandnagar,3555.0,4.0,230.0,4
244,Anandnagar,1450.0,3.0,132.0,4
246,Anandnagar,1290.0,2.0,85.0,2
247,Anandnagar,1800.0,3.0,90.0,3
248,Anandnagar,2475.0,4.0,130.0,3
249,Anandnagar,1776.42,3.0,105.0,3
252,Anandnagar,1000.0,2.0,65.0,3
253,Anandnagar,1128.0,2.0,65.0,2
256,Anandnagar,1418.0,2.0,103.0,2
258,Anandnagar,1340.0,2.0,77.0,2
259,Anandnagar,1419.0,2.0,73.0,3
260,Anandnagar,1891.0,3.0,109.0,3
261,Anandnagar,2592.0,4.0,250.0,4
265,Anandnagar,1750.0,3.0,130.0,3
266,Anandnagar,2661.0,2.0,226.5,3
269,Anandnagar,1045.0,2.0,58.0,2
273,Anandnagar,750.0,1.0,52.5,1
274,Anandnagar,1732.0,3.0,85.73,3
278,Anandnagar,1910.0,3.0,119.0,3
279,Anandnagar,500.0,2.0,24.0,1
281,Anandnagar,3200.0,4.0,280.0,4
282,Anandnagar,1020.0,2.0,60.0,2
283,Anandnagar,1750.0,3.0,123.0,3
286,Anandnagar,1725.0,2.0,165.0,3
287,Anandnagar,665.0,1.0,32.0,1
288,Anandnagar,2400.0,4.0,250.0,4
289,Anandnagar,1355.0,3.0,83.87,3
290,Anandnagar,1200.0,3.0,125.0,4
293,Anandnagar,645.0,1.0,42.5,1
294,Anandnagar,1613.0,3.0,150.0,3
296,Anandnagar,1280.0,2.0,100.0,3
297,Anandnagar,1115.0,2.0,60.0,2
298,Anandnagar,416.0,1.0,18.0,1
299,Anandnagar,1491.0,3.0,88.0,3
300,Anandnagar,1929.0,4.0,101.0,3
302,Anandnagar,1770.0,3.0,90.0,3
304,Anandnagar,2025.0,4.0,115.0,3
305,Anandnagar,1397.0,3.0,105.0,3
306,Anandnagar,1738.0,3.0,110.0,3
310,Anandnagar,3400.0,4.0,275.0,4
311,Anandnagar,702.0,1.0,52.0,1
312,Anandnagar,2895.5,2.0,246.0,4
313,Anandnagar,1330.0,2.0,80.0,2
314,Anandnagar,1152.0,1.0,66.0,2
315,Anandnagar,1314.0,2.0,110.0,2
316,Anandnagar,1100.0,2.0,75.0,3
318,Anandnagar,1464.0,2.0,115.0,3
322,Anandnagar,1000.0,2.0,70.0,2
325,Anandnagar,3000.0,6.0,180.0,7
328,Anandnagar,1350.0,2.0,85.0,3
329,Anandnagar,1776.0,3.0,150.0,3
333,Anandnagar,2150.0,3.0,170.0,3
336,Anandnagar,1400.0,3.0,74.0,3
338,Anandnagar,410.0,1.0,10.0,1
341,Anandnagar,1335.0,2.0,72.76,2
342,Anandnagar,1600.0,2.0,90.0,2
343,Anandnagar,1917.0,4.0,130.0,4
344,Aundh,1521.0,3.0,95.0,3
345,Aundh,1200.0,3.0,90.0,3
346,Aundh,1327.0,2.0,98.0,2
348,Aundh,1580.0,2.0,134.0,3
349,Aundh,1355.0,2.0,115.0,2
351,Aundh,1170.0,2.0,57.0,2
353,Aundh,1464.0,2.0,105.0,3
354,Aundh,1200.0,4.0,120.0,4
355,Aundh,1180.0,2.0,75.0,2
356,Aundh,2195.0,4.0,127.0,3
357,Aundh,3522.0,3.0,380.0,3
358,Aundh,1192.0,2.0,71.0,2
359,Aundh,2700.0,4.0,270.0,3
360,Aundh,600.0,1.0,16.5,1
361,Aundh,2690.0,4.0,191.0,4
363,Aundh,1270.0,2.0,70.0,3
364,Aundh,1837.0,3.0,145.0,3
365,Aundh,1875.0,3.0,110.0,3
367,Aundh,3181.0,2.0,260.5,4
368,Aundh,1080.0,2.0,53.35,2
369,Aundh,440.0,1.0,28.0,1
370,Aundh,1350.0,2.0,90.0,2
373,Aundh,630.5,1.0,32.79,1
374,Aundh,1512.0,2.0,110.0,3
375,Aundh,1355.0,3.0,83.87,3
376,Aundh,1521.0,3.0,94.71,3
377,Aundh,1299.0,2.0,85.0,2
378,Aundh,1896.0,3.0,125.0,4
379,Aundh,1140.0,2.0,50.0,2
380,Aundh,1251.0,2.0,88.73,2
381,Aundh,2388.0,4.0,239.0,3
382,Aundh,1200.0,2.0,55.0,2
383,Aundh,1322.0,2.0,86.0,2
384,Aundh,1100.0,2.0,48.0,2
386,Aundh,700.0,2.0,34.98,2
387,Aundh,1450.0,3.0,100.0,3
389,Aundh,1486.0,3.0,83.22,3
390,Aundh,1390.0,2.0,65.31,2
392,Aundh,1290.0,2.0,80.0,2
393,Aundh,1302.0,2.0,68.5,2
395,Aundh,1610.0,4.0,85.0,3
399,Aundh,1706.0,3.0,154.0,3
400,Aundh,1000.0,1.0,90.0,2
402,Aundh,1665.0,3.0,110.0,3
403,Aundh,3900.0,6.0,195.0,6
405,Aundh,1335.0,2.0,87.0,3
406,Aundh,1700.0,3.0,150.0,3
407,Aundh,3500.0,4.0,289.0,4
409,Aundh,1087.0,2.0,54.3,2
413,Aundh,1066.0,2.0,52.23,2
414,Aundh,1250.0,2.0,95.0,2
415,Aundh,1255.0,2.0,84.0,2
416,Aundh,1180.0,2.0,60.0,2
417,Aundh,3155.0,3.0,315.0,3
418,Aundh,2003.0,3.0,200.0,3
421,Aundh,700.0,1.0,35.0,1
425,Aundh,2330.0,5.0,175.0,4
427,Aundh,750.0,2.0,40.0,2
428,Aundh,1842.0,3.0,115.0,3
429,Aundh,1632.0,3.0,140.0,4
431,Aundh,1350.0,1.0,55.0,1
432,Aundh,3930.0,5.0,330.0,4
434,Aundh,1560.0,3.0,149.0,4
435,Aundh,1416.0,2.0,67.0,2
437,Aundh,1090.0,2.0,31.48,1
440,Aundh,1400.0,3.0,75.0,3
441,Aundh,1885.0,3.0,135.0,3
443,Aundh,5100.0,5.0,300.0,6
445,Aundh,2400.0,2.0,125.0,2
446,Aundh,540.0,1.0,22.0,1
447,Aundh,2400.0,3.0,185.0,4
448,Aundh,4723.0,4.0,500.0,4
449,Aundh,1290.0,2.0,72.0,2
450,Aundh,1482.0,3.0,110.0,3
451,Aundh,1094.0,2.0,54.0,2
452,Aundh,1234.0,2.0,80.0,2
454,Aundh,1810.0,3.0,97.83,3
456,Aundh,1648.0,3.0,85.0,3
457,Aundh,1703.0,3.0,120.0,3
459,Aundh Road,2502.0,3.0,138.0,3
462,Aundh Road,1826.0,3.0,121.0,3
465,Aundh Road,600.0,1.0,50.0,1
469,Aundh Road,1234.0,2.0,80.0,2
470,Aundh Road,1330.0,2.0,92.5,2
471,Aundh Road,2200.0,6.0,68.0,6
472,Aundh Road,1650.0,3.0,125.0,3
475,Aundh Road,2400.0,3.0,142.0,4
477,Aundh Road,2479.13,3.0,215.0,3
478,Aundh Road,3000.0,4.0,200.0,4
480,Aundh Road,2503.0,4.0,188.0,4
483,Aundh Road,1500.0,3.0,97.0,3
484,Aundh Road,7500.0,7.0,400.0,7
485,Aundh Road,1800.0,4.0,110.0,4
489,Aundh Road,1100.0,2.0,68.0,2
492,Aundh Road,605.0,1.0,40.0,1
493,Aundh Road,1200.0,2.0,100.0,2
494,Aundh Road,1600.0,2.0,115.0,3
495,Aundh Road,1369.1,2.0,104.0,2
498,Aundh Road,1948.0,3.0,130.0,3
500,Aundh Road,1810.0,3.0,126.0,3
503,Aundh Road,412.5,1.0,19.8,1
505,Aundh Road,540.0,1.0,16.5,1
506,Aundh Road,850.0,1.0,57.0,1
507,Aundh Road,1475.0,3.0,78.0,3
509,Aundh Road,905.0,1.0,52.0,1
510,Aundh Road,1293.0,2.0,85.0,3
513,Aundh Road,2968.0,3.0,225.0,3
516,Aundh Road,1600.0,3.0,112.0,3
520,Aundh Road,1000.0,2.0,70.65,2
523,Aundh Road,2134.0,4.0,118.0,3
526,Aundh Road,1290.0,2.0,90.0,2
527,Aundh Road,661.0,1.0,40.0,1
529,Aundh Road,1730.0,3.0,93.0,3
530,Aundh Road,1650.0,3.0,90.75,3
532,Aundh Road,616.0,3.0,45.0,2
533,Aundh Road,1100.0,2.0,70.0,2
534,Aundh Road,900.0,2.0,60.0,2
539,Aundh Road,645.0,1.0,41.0,1
541,Aundh Road,900.0,3.0,79.0,3
542,Aundh Road,1222.0,3.0,95.0,3
544,Aundh Road,1130.0,2.0,68.0,2
545,Aundh Road,1000.0,2.0,66.0,2
551,Aundh Road,1650.0,3.0,126.0,3
555,Aundh Road,1293.0,2.0,80.0,2
556,Aundh Road,1245.0,2.0,80.0,2
558,Aundh Road,1300.0,2.0,69.0,3
565,Aundh Road,1500.0,3.0,90.0,3
566,Aundh Road,2140.0,3.0,139.0,3
567,Aundh Road,1000.0,2.0,66.0,2
571,Balaji Nagar,1170.0,2.0,38.0,2
572,Balaji Nagar,1783.0,3.0,115.0,3
573,Balaji Nagar,1349.0,2.0,98.2,2
574,Balaji Nagar,1245.0,2.0,94.0,2
575,Balaji Nagar,540.0,1.0,36.0,1
576,Balaji Nagar,1779.0,3.0,89.61,3
577,Balaji Nagar,1342.0,2.0,73.3,2
579,Balaji Nagar,1937.0,3.0,160.0,3
580,Balaji Nagar,1400.0,2.0,78.0,2
581,Balaji Nagar,1200.0,2.0,71.0,2
582,Balaji Nagar,1440.0,2.0,98.0,2
583,Balaji Nagar,1297.0,2.0,103.0,2
584,Balaji Nagar,1200.0,3.0,72.0,2
585,Balaji Nagar,1240.0,2.0,44.0,2
586,Balaji Nagar,1846.0,3.0,140.0,3
587,Balaji Nagar,2045.0,4.0,154.0,3
588,Balaji Nagar,1238.0,2.0,55.0,2
589,Balaji Nagar,983.0,2.0,50.6,2
590,Balaji Nagar,1583.0,3.0,105.0,3
591,Balaji Nagar,2524.0,5.0,190.0,4
592,Balaji Nagar,3200.0,4.0,205.0,4
593,Balaji Nagar,1800.0,3.0,110.0,3
594,Balaji Nagar,1700.0,2.0,100.0,3
595,Balaji Nagar,1493.0,3.0,82.0,3
596,Balaji Nagar,3181.0,4.0,260.5,4
597,Balaji Nagar,1156.0,2.0,49.5,2
598,Balaji Nagar,1697.0,3.0,115.0,3
599,Balaji Nagar,1350.0,2.0,87.01,3
600,Balaji Nagar,1650.0,3.0,100.0,3
601,Balaji Nagar,995.0,2.0,34.82,2
603,Balaji Nagar,1532.0,3.0,83.0,3
604,Balaji Nagar,1128.0,2.0,65.5,2
605,Balaji Nagar,1355.0,2.0,75.0,2
606,Balaji Nagar,990.0,2.0,40.0,2
607,Balaji Nagar,3600.0,4.0,260.0,4
608,Balaji Nagar,1656.0,3.0,150.0,3
609,Balaji Nagar,1600.0,4.0,112.0,4
611,Balaji Nagar,1041.0,2.0,36.44,2
612,Balaji Nagar,1246.0,2.0,62.3,2
613,Balaji Nagar,4830.0,5.0,390.0,4
614,Balaji Nagar,4400.0,4.0,350.0,5
615,Balaji Nagar,1100.0,2.0,62.0,2
616,Balaji Nagar,709.0,1.0,34.735,1
619,Balaji Nagar,1917.0,4.0,100.0,3
620,Balaji Nagar,1303.0,2.0,55.79,2
621,Balaji Nagar,1200.0,2.0,66.0,3
623,Balaji Nagar,1519.0,2.0,65.0,2
624,Balaji Nagar,2010.0,3.0,125.0,3
625,Balaji Nagar,1450.0,3.0,75.0,3
626,Balaji Nagar,1200.0,2.0,90.0,2
627,Balaji Nagar,4250.0,6.0,150.0,6
628,Balaji Nagar,1185.0,2.0,41.0,2
629,Balaji Nagar,907.0,2.0,38.0,2
630,Balaji Nagar,4003.0,6.0,300.0,4
631,Balaji Nagar,3496.5,2.0,237.5,3
632,Balaji Nagar,1369.1,2.0,98.0,2
633,Balaji Nagar,1109.0,2.0,35.22,2
634,Balaji Nagar,1180.0,2.0,52.0,2
635,Balaji Nagar,1375.0,2.0,78.0,2
636,Balaji Nagar,1280.0,2.0,60.16,2
637,Balaji Nagar,620.0,1.0,23.5,2
638,Balaji Nagar,1536.0,3.0,104.0,3
639,Balaji Nagar,1205.0,2.0,63.86,2
640,Balaji Nagar,1140.0,2.0,48.7,2
641,Balaji Nagar,2215.0,4.0,150.0,3
642,Balaji Nagar,745.0,1.0,34.27,1
643,Balaji Nagar,900.0,2.0,42.0,2
644,Balaji Nagar,1044.0,2.0,34.0,2
645,Balaji Nagar,2710.0,3.0,170.0,3
646,Balaji Nagar,1150.0,1.0,52.0,1
647,Balaji Nagar,1180.0,2.0,71.22,2
649,Balaji Nagar,1046.0,2.0,60.0,2
650,Balaji Nagar,1125.0,2.0,54.8,2
651,Balaji Nagar,2648.0,3.0,238.0,3
652,Balaji Nagar,4446.0,3.0,410.0,3
653,Balaji Nagar,1116.0,2.0,47.0,2
654,Balaji Nagar,1300.0,2.0,66.0,2
656,Balaji Nagar,1282.0,2.0,72.0,2
657,Balaji Nagar,1276.0,2.0,80.0,2
659,Balaji Nagar,1717.0,3.0,110.0,3
660,Balaji Nagar,3000.0,8.0,150.0,8
661,Balaji Nagar,1300.0,3.0,69.0,3
662,Balaji Nagar,1645.0,3.0,87.0,3
664,Balaji Nagar,1660.0,3.0,104.0,3
665,Balaji Nagar,1320.0,2.0,50.0,2
667,Balaji Nagar,1171.0,2.0,73.0,2
668,Balaji Nagar,812.0,2.0,42.0,2
669,Balaji Nagar,1875.0,2.0,110.0,3
670,Balaji Nagar,1000.0,2.0,35.0,2
671,Balaji Nagar,1938.0,3.0,113.0,3
672,Balaji Nagar,1745.0,3.0,130.0,3
673,Balaji Nagar,1584.0,3.0,101.0,3
674,Balaji Nagar,1050.0,2.0,35.0,2
675,Balaji Nagar,1500.0,3.0,85.0,3
677,Balaji Nagar,509.0,1.0,23.0,1
678,Balaji Nagar,1310.0,2.0,53.0,2
679,Baner,2732.0,4.0,204.0,4
680,Baner,2400.0,2.0,150.0,3
682,Baner,1005.0,2.0,50.0,2
683,Baner,1145.0,2.0,45.79,2
685,Baner,715.0,1.0,46.0,1
686,Baner,1640.0,2.0,120.0,3
687,Baner,1105.0,2.0,58.0,2
688,Baner,1345.0,2.0,67.0,2
690,Baner,1128.0,2.0,65.49,2
691,Baner,500.0,1.0,25.0,1
692,Baner,650.0,1.0,38.0,1
693,Baner,1269.72,2.0,68.0,2
694,Baner,1490.0,2.0,98.0,3
696,Baner,1101.0,2.0,65.0,2
697,Baner,400.0,1.0,14.0,1
699,Baner,1063.0,2.0,42.0,2
700,Baner,2319.0,3.0,180.0,3
701,Baner,1311.0,2.0,78.0,2
702,Baner,1525.0,3.0,96.0,3
703,Baner,1850.0,3.0,110.0,3
704,Baner,1098.0,2.0,43.91,2
707,Baner,1247.0,2.0,59.8,2
708,Baner,3537.0,5.0,210.0,4
709,Baner,1719.0,3.0,116.0,3
710,Baner,2760.0,5.0,157.0,3
712,Baner,900.0,2.0,32.5,2
713,Baner,2776.0,4.0,195.0,3
714,Baner,1820.0,3.0,93.0,3
715,Baner,1150.0,2.0,65.0,2
716,Baner,1016.0,2.0,45.0,2
717,Baner,1045.0,2.0,36.58,2
718,Baner,985.0,2.0,49.0,2
719,Baner,1326.0,2.0,57.0,2
720,Baner,1210.0,2.0,45.0,2
721,Baner,1085.0,2.0,70.0,2
722,Baner,1420.0,3.0,85.0,3
723,Baner,1559.0,3.0,120.0,3
724,Baner,1113.0,2.0,50.0,2
725,Baner,1140.0,2.0,45.0,2
726,Baner,1194.0,2.0,71.64,2
727,Baner,1680.0,3.0,117.0,3
729,Baner,1100.0,2.0,57.0,2
730,Baner,1350.0,3.0,71.0,3
731,Baner,1210.0,2.0,75.0,2
732,Baner,1155.0,2.0,51.0,2
734,Baner,1345.0,2.0,106.0,2
735,Baner,1240.0,2.0,80.0,2
736,Baner,1200.0,2.0,80.0,2
737,Baner,1755.0,3.0,101.0,3
738,Baner,1231.0,2.0,50.0,2
739,Baner,1645.0,3.0,117.0,3
741,Baner,2400.0,3.0,135.0,3
744,Baner,1002.0,2.0,40.08,2
745,Baner,1350.0,2.0,90.0,2
746,Baner,985.0,2.0,57.0,2
748,Baner,1255.0,2.0,55.5,2
749,Baner,2500.0,5.0,175.0,4
750,Baner,1650.0,3.0,101.0,3
751,Baner,1010.0,2.0,36.0,2
753,Baner,1695.0,3.0,125.0,3
754,Baner,1720.0,2.0,126.0,3
756,Baner,775.0,2.0,29.5,2
757,Baner,1160.0,2.0,40.53,2
758,Baner,2100.0,3.0,135.0,3
759,Baner,1061.0,2.0,33.84,2
760,Baner,1140.0,2.0,46.0,2
761,Baner,800.0,2.0,40.0,2
762,Baner,1234.0,2.0,51.0,2
763,Baner,700.0,2.0,34.0,2
764,Baner,2569.0,4.0,175.0,4
765,Baner,1330.0,2.0,93.65,2
766,Baner,1154.0,2.0,47.0,2
767,Baner,1748.0,3.0,103.0,3
769,Baner,1035.0,2.0,39.33,2
770,Baner,1247.0,2.0,58.56,2
771,Baner,1168.0,2.0,68.0,3
772,Baner,1280.0,2.0,68.48,2
773,Baner,1465.0,2.0,60.0,2
774,Baner,1200.0,2.0,70.0,2
775,Baner,1260.0,2.0,82.0,3
776,Baner,1150.0,2.0,38.08,2
777,Baner,1806.0,6.0,116.0,3
778,Baner,1837.0,2.0,95.0,3
780,Baner,1150.0,2.0,70.0,2
781,Baner,1175.0,2.0,50.0,2
783,Baner,2265.0,3.0,159.0,3
784,Baner,1146.0,2.0,69.0,2
787,Baner road,1417.0,2.0,75.0,2
791,Baner road,1060.0,2.0,55.0,2
794,Baner road,764.0,1.0,32.0,1
795,Baner road,1490.0,3.0,100.0,3
797,Baner road,1330.0,2.0,93.36,2
800,Baner road,1140.0,2.0,76.0,2
